,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
364,365,消毒剂,BK0913,1307.52,-8.39,-0.64,579684464000,1.03,15,41,英科医疗,8.52
365,366,天然气,BK0843,1183.31,-7.6,-0.64,3837997920000,0.52,28,85,新潮能源,3.67
366,367,土壤修复,BK1070,823.89,-5.33,-0.64,157335580000,2.06,6,18,冠中生态,0.63
367,368,煤化工,BK0492,9136.68,-59.69,-0.65,2403990944000,0.76,14,57,云鼎科技,4.7
368,369,地下管网,BK1058,903.04,-5.92,-0.65,288948976000,1.04,7,23,优机股份,1.84
369,370,超级真菌,BK0862,1160.95,-7.7,-0.66,445618000000,1.11,6,14,未名医药,4.14
370,371,医废处理,BK0914,1097.67,-7.3,-0.66,218442905000,0.92,7,21,雪浪环境,3.26
371,372,航天概念,BK0963,1298.86,-8.8,-0.67,955274640000,2.47,33,46,旋极信息,2.08
372,373,环氧丙烷,BK1011,638.63,-4.47,-0.7,446140880000,0.81,4,9,红墙股份,2.52
373,374,免疫治疗,BK0698,1417.49,-9.93,-0.7,505426144000,1.24,11,27,姚记科技,5.15
374,375,快递概念,BK0990,840.53,-5.9,-0.7,721161824000,0.7,10,30,药易购,3.67
375,376,疫苗冷链,BK0941,1144.58,-8.2,-0.71,605840784000,1.17,12,15,长虹美菱,2.02
376,377,装配建筑,BK0945,997.48,-7.15,-0.71,1733213280000,1.31,27,58,宁波建工,4.49
377,378,气溶胶检测,BK1065,1182.93,-8.91,-0.75,227655697000,1.36,4,7,天瑞仪器,0.77
378,379,工程机械概念,BK0991,1020.32,-7.7,-0.75,864018080000,1.4,12,26,华电重工,5.0
379,380,草甘膦,BK0950,1906.44,-14.42,-0.75,224693013000,1.09,3,11,诺 普 信,1.9
380,381,新型城镇化,BK1080,824.41,-6.32,-0.76,135986354000,2.81,7,21,宁波建工,4.49
