,股票代码,股票名称,板块名称
771,603018,华设集团,建筑装饰
772,600970,中材国际,建筑装饰
773,002830,名雕股份,建筑装饰
774,605289,罗曼股份,建筑装饰
775,600170,上海建工,建筑装饰
776,301058,中粮科工,建筑装饰
777,601618,中国中冶,建筑装饰
778,002811,郑中设计,建筑装饰
779,001267,汇绿生态,建筑装饰
780,601886,江河集团,建筑装饰
781,603458,勘设股份,建筑装饰
782,600629,华建集团,建筑装饰
783,603843,正平股份,建筑装饰
784,603828,柯利达,建筑装饰
785,002775,文科园林,建筑装饰
786,003001,中岩大地,建筑装饰
787,603637,镇海股份,建筑装饰
788,002375,亚厦股份,建筑装饰
789,300536,农尚环境,建筑装饰
790,600039,四川路桥,建筑装饰
791,600234,科新发展,建筑装饰
792,002949,华阳国际,建筑装饰
793,833873,中设咨询,建筑装饰
794,002743,富煌钢构,建筑装饰
795,002789,建艺集团,建筑装饰
796,002856,美芝股份,建筑装饰
797,002822,中装建设,建筑装饰
798,002628,成都路桥,建筑装饰
799,603163,圣晖集成,建筑装饰
800,300517,海波重科,建筑装饰
801,600512,腾达建设,建筑装饰
802,600667,太极实业,建筑装饰
803,603176,汇通集团,建筑装饰
804,000010,美丽生态,建筑装饰
805,833427,华维设计,建筑装饰
806,002200,ST交投,建筑装饰
807,836892,广咨国际,建筑装饰
808,300986,志特新材,建筑装饰
809,002663,普邦股份,建筑装饰
810,002989,中天精装,建筑装饰
811,603316,诚邦股份,建筑装饰
812,603030,全筑股份,建筑装饰
813,300712,永福股份,建筑装饰
814,430564,天润科技,建筑装饰
815,002963,豪尔赛,建筑装饰
816,600939,重庆建工,建筑装饰
