股票代码,板块名称
002870,13
600510,13
600035,13
688400,13
002533,13
002860,13
002536,13
002539,13
002543,13
000711,13
300432,13
603126,13
300428,13
600252,13
300335,13
300019,13
002153,13
600864,13
600655,13
002129,13
600871,13
300773,13
002121,13
001979,13
600642,13
002296,13
002168,13
601127,13
600893,13
600973,13
002116,13
002170,13
301027,13
002172,13
002249,13
301213,13
002281,13
000970,13
002106,13
600685,13
002181,13
002301,13
600941,13
300687,13
300660,13
600711,13
001270,13
002158,13
600820,13
601515,13
002046,13
600667,13
000993,13
001308,13
002138,13
002023,13
002237,13
300826,13
600862,13
002130,13
600863,13
002061,13
301221,13
300327,12
688525,12
300340,12
600126,12
002655,12
300273,12
301085,12
600481,12
300782,12
300766,12
300284,12
688521,12
300292,12
603843,12
603015,12
600157,12
300304,12
300770,12
000591,12
002313,12
300343,12
603882,12
600061,12
002563,12
600060,12
000701,12
002556,12
000705,12
601908,12
000709,12
002215,12
000713,12
300437,12
600048,12
000716,12
600039,12
600509,12
002517,12
300457,12
603936,12
601139,12
600070,12
300266,12
300346,12
002632,12
300350,12
601985,12
301112,12
002612,12
600098,12
300377,12
600679,12
300750,12
002190,12
601118,12
002596,12
600498,12
601965,12
688489,12
300373,12
000531,12
300264,12
300890,12
000046,12
300903,12
600309,12
002007,12
300895,12
600881,12
002002,12
300071,12
300097,12
300884,12
002089,12
600277,12
600760,12
300087,12
002100,12
300095,12
600366,12
600789,12
002932,12
002935,12
002993,12
300949,12
600848,12
002031,12
300925,12
835207,12
002026,12
300005,12
603308,12
300006,12
300009,12
300021,12
000030,12
600363,12
300033,12
603556,12
300862,12
600176,12
603056,12
603648,12
600982,12
000507,12
300181,12
002783,12
002125,12
300185,12
000538,12
300110,12
002747,12
688186,12
301058,12
300256,12
300262,12
000560,12
603773,12
300846,12
600225,12
002808,12
603077,12
300112,12
600938,12
603588,12
300114,12
600398,12
002837,12
603598,12
300124,12
603108,12
600956,12
300139,12
300147,12
603088,12
603613,12
603083,12
600026,12
688208,12
300471,12
300527,12
301238,12
000861,12
300469,12
601600,12
300605,12
300623,12
002272,12
301308,12
600629,12
300473,12
002376,12
000858,12
601238,12
300474,12
601615,12
688003,12
002308,12
002326,12
601728,12
601226,12
000966,12
002324,12
600585,12
000963,12
002437,12
688322,12
301199,12
300665,12
600624,12
000930,12
301175,12
000813,12
000801,12
002285,12
300657,12
600641,12
300546,12
600562,12
000987,12
000973,12
300648,12
000815,11
002353,11
002414,11
002141,11
300055,11
600195,11
002903,11
600600,11
000544,11
002135,11
300221,11
000541,11
300825,11
002410,11
301041,11
688597,11
300208,11
000065,11
000532,11
688365,11
600597,11
300260,11
000931,11
600708,11
600313,11
002434,11
002263,11
002161,11
688779,11
603011,11
600556,11
300278,11
603017,11
300276,11
603158,11
002701,11
300586,11
300274,11
300656,11
600188,11
300655,11
000807,11
603387,11
603138,11
301270,11
002722,11
300261,11
603690,11
600874,11
002149,11
600183,11
002349,11
600185,11
300051,11
600645,11
000078,11
600577,11
601688,11
600582,11
002841,11
600251,11
300555,11
600278,11
300552,11
603105,11
600583,11
600963,11
002111,11
000422,11
600238,11
000425,11
600418,11
300638,11
301302,11
600970,11
600756,11
000404,11
600905,11
000885,11
300566,11
300080,11
002861,11
600587,11
000876,11
300866,11
600276,11
002103,11
300626,11
002851,11
601633,11
600755,11
300644,11
600200,11
301189,11
300180,11
688100,11
000825,11
601038,11
688606,11
000519,11
600210,11
688619,11
000523,11
688599,11
600775,11
000069,11
600744,11
300197,11
600292,11
301327,11
002386,11
000498,11
002387,11
000099,11
300158,11
300159,11
688025,11
301313,11
600380,11
300172,11
600288,11
300165,11
600774,11
300072,11
002398,11
688360,11
002436,11
301269,11
000402,11
300484,11
002047,11
600338,11
002482,11
601933,11
300726,11
600064,11
000688,11
301162,11
002203,11
002205,11
688439,11
300419,11
600516,11
601919,11
605001,11
002580,11
600682,11
000703,11
601137,11
002605,11
002051,11
002472,11
000758,11
600490,11
601088,11
600081,11
688275,11
600079,11
300487,11
603316,11
002478,11
301169,11
688068,11
300738,11
300682,11
300423,11
000661,11
300607,11
601886,11
300466,11
301223,11
603283,11
002523,11
603228,11
601877,11
301151,11
000726,11
601872,11
603977,11
002992,11
600031,11
600028,11
000922,11
601888,11
301137,11
301121,11
000738,11
003035,11
601866,11
003031,11
600673,11
301131,11
002213,11
002214,11
300436,11
600019,11
301132,11
002497,11
300439,11
603203,11
603206,11
002535,11
300489,11
002598,11
600855,11
002176,11
000903,11
600540,11
000908,11
688306,11
600535,11
300331,11
600127,11
000778,11
300027,11
002451,11
300008,11
600533,11
002019,11
300507,11
000790,11
300323,11
002662,11
300034,11
601992,11
000035,11
603358,11
300316,11
000002,11
002441,11
000902,11
300768,11
000601,11
300514,11
603359,11
601798,11
000598,11
002640,11
301226,11
600114,11
300348,11
601117,11
300672,11
600521,11
300919,11
600108,11
600110,11
002463,11
002251,11
603906,11
300356,11
000768,11
300916,11
001229,11
600900,11
300613,11
300017,11
300344,11
600528,11
300015,11
601567,10
600360,10
600346,10
301259,10
601512,10
601628,10
300968,10
300888,10
300617,10
