date,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-03-27,19.28,19.0,19.3,18.58,140521,266103674.0,3.73,-1.45,-0.28,5.21
2023-03-28,18.9,18.45,18.9,18.36,88318,163999615.0,2.84,-2.89,-0.55,3.28
2023-03-29,18.44,18.47,18.77,18.23,73875,136869986.0,2.93,0.11,0.02,2.74
2023-03-30,18.39,17.85,18.45,17.76,79030,142361398.0,3.74,-3.36,-0.62,2.93
2023-03-31,17.85,18.73,18.79,17.69,108391,198366192.0,6.16,4.93,0.88,4.02
2023-04-03,18.65,18.89,18.96,18.2,118439,221173283.0,4.06,0.85,0.16,4.39
2023-04-04,18.97,18.7,19.02,18.47,110039,206132220.0,2.91,-1.01,-0.19,4.08
2023-04-06,18.2,18.87,19.16,18.13,165098,311193527.0,5.51,0.91,0.17,6.12
2023-04-07,19.35,18.41,19.36,17.6,184902,337293787.0,9.33,-2.44,-0.46,6.86
2023-04-10,18.7,17.72,18.87,17.59,120750,220260442.0,6.95,-3.75,-0.69,4.48
2023-04-11,17.61,17.55,17.98,17.27,79957,140268452.0,4.01,-0.96,-0.17,2.97
2023-04-12,17.68,18.49,18.55,17.58,120094,218135440.0,5.53,5.36,0.94,4.46
2023-04-13,18.37,18.0,18.53,17.99,76488,139751955.0,2.92,-2.65,-0.49,2.84
2023-04-14,18.08,17.71,18.28,17.42,73765,130721507.0,4.78,-1.61,-0.29,2.74
2023-04-17,17.54,16.78,17.63,16.71,97348,164872278.0,5.19,-5.25,-0.93,3.61
2023-04-18,16.88,16.6,16.88,16.26,49787,82408184.0,3.69,-1.07,-0.18,1.85
2023-04-19,16.55,16.75,17.19,16.51,56868,96104134.0,4.1,0.9,0.15,2.11
2023-04-20,16.7,16.86,16.97,16.7,38264,64476634.0,1.61,0.66,0.11,1.42
