日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,食品加工制造,1,0,100.0,1.36,92991506956.92,929.92,0,0,0,0,0,1,0,0,0
2023-03-01,饮料制造,3,3,50.0,-0.018333333333333323,430394732170.13,4303.95,0,0,0,3,0,3,0,0,0
2023-03-01,饲料,1,0,100.0,0.38,60132731321.25,601.33,0,0,0,0,0,1,0,0,0
2023-03-01,高速公路,1,0,100.0,2.29,52329737851.93,523.30,0,0,0,0,0,1,0,0,0
2023-03-02,IT服务,0,3,0.0,-0.8933333333333334,204701672997.28,2047.02,0,0,0,3,0,0,0,0,0
2023-03-02,LED,0,1,0.0,-2.49,84122029764.24,841.22,0,0,0,1,0,0,0,0,0
2023-03-02,专业工程,2,0,100.0,4.3149999999999995,117580768821.24,1175.81,0,0,0,0,0,1,0,1,0
2023-03-02,专用设备,2,0,100.0,2.315,180487048410.06,1804.87,0,0,0,0,0,1,1,0,0
2023-03-02,中药,0,3,0.0,-1.05,168073909758.24,1680.74,0,0,0,3,0,0,0,0,0
2023-03-02,乘用车,1,2,33.33333333333333,-0.57,204542498435.11,2045.42,0,0,0,2,0,1,0,0,0
2023-03-02,传媒,3,0,100.0,2.3766666666666665,217750332238.11,2177.50,0,0,0,0,0,1,2,0,0
2023-03-02,保险,0,1,0.0,-0.03,67172001141.4,671.72,0,0,0,0,1,0,0,0,0
2023-03-02,保险及其他,1,1,50.0,0.91,143783000360.13998,1437.83,0,0,0,0,1,1,0,0,0
2023-03-02,光伏设备,0,5,0.0,-2.702,343658223580.27,3436.58,0,1,0,4,0,0,0,0,0
2023-03-02,光学光电子,0,2,0.0,-1.4700000000000002,146698694961.9,1466.99,0,0,0,2,0,0,0,0,0
2023-03-02,公路铁路运输,1,0,100.0,0.83,52762215024.259995,527.62,0,0,0,0,0,1,0,0,0
2023-03-02,其他传媒,1,0,100.0,3.61,52873884459.04,528.74,0,0,0,0,0,0,1,0,0
2023-03-02,其他建材,2,0,100.0,1.945,146222197401.86,1462.22,0,0,0,0,0,2,0,0,0
2023-03-02,其他生物制品,0,1,0.0,-1.74,78163629607.7,781.64,0,0,0,1,0,0,0,0,0
2023-03-02,其他电源设备,2,0,100.0,3.2,106463625619.85,1064.64,0,0,0,0,0,1,1,0,0
2023-03-02,其他白色家电,0,2,0.0,-4.285,159740381716.2,1597.40,0,1,0,1,0,0,0,0,0
2023-03-02,其他纺织,0,1,0.0,-2.84,65818800000.0,658.19,0,0,0,1,0,0,0,0,0
2023-03-02,军工电子,0,2,0.0,-0.805,146048767250.72,1460.49,0,0,0,2,0,0,0,0,0
2023-03-02,农产品加工,0,1,0.0,-0.6,59769665773.65,597.70,0,0,0,1,0,0,0,0,0
2023-03-02,农商行,1,0,100.0,0.17,57095111114.4,570.95,0,0,0,0,0,1,0,0,0
2023-03-02,分立器件,0,1,0.0,-0.88,67153045108.32,671.53,0,0,0,1,0,0,0,0,0
2023-03-02,化妆品,2,0,100.0,2.655,112203111943.98,1122.03,0,0,0,0,0,1,1,0,0
2023-03-02,化学制剂,0,1,0.0,-1.14,81663611605.16,816.64,0,0,0,1,0,0,0,0,0
2023-03-02,化学制品,1,1,50.0,-0.11500000000000005,129935360197.85,1299.35,0,0,0,1,0,1,0,0,0
2023-03-02,化学制药,0,2,0.0,-0.885,140545396736.96002,1405.45,0,0,0,2,0,0,0,0,0
2023-03-02,化学原料,1,0,100.0,1.67,53921676975.36,539.22,0,0,0,0,0,1,0,0,0
2023-03-02,化工合成材料,0,1,0.0,-0.91,94814123567.94,948.14,0,0,0,1,0,0,0,0,0
2023-03-02,医疗服务,0,1,0.0,-0.97,84538586040.0,845.39,0,0,0,1,0,0,0,0,0
2023-03-02,医疗研发外包,0,1,0.0,-0.97,84538586040.0,845.39,0,0,0,1,0,0,0,0,0
2023-03-02,医疗美容,0,1,0.0,-1.21,59909549544.81,599.10,0,0,0,1,0,0,0,0,0
2023-03-02,医药商业,0,1,0.0,-0.76,54463669050.54,544.64,0,0,0,1,0,0,0,0,0
2023-03-02,半导体及元件,5,9,35.714285714285715,-0.5214285714285715,932028480539.3099,9320.28,0,0,1,8,0,5,0,0,0
