日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-04-03,3.76,1.35,2664538.0,13.55,1290168.0,6.56,1374370.0,6.99,-1828485.0,-9.3,-836053.0,-4.25,000972
2023-04-03,8.5,0.12,-6758579.0,-15.78,16586.0,0.04,-6775165.0,-15.82,1086256.0,2.54,5672324.0,13.25,600251
2023-04-03,20.2,2.43,4780099.0,9.96,1908713.0,3.98,2871386.0,5.98,306383.0,0.64,-5086482.0,-10.6,603151
2023-04-03,5.82,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,-310255.0,-24.63,155312.0,12.33,832419
2023-04-03,3.25,-1.52,-1043988.0,-22.12,0.0,0.0,-1043988.0,-22.12,-1163306.0,-24.65,381158.0,8.08,832023
2023-04-03,7.65,0.79,1898381.0,4.21,476550.0,1.06,1421831.0,3.15,919355.0,2.04,-2817736.0,-6.25,600127
2023-04-03,57.8,-0.91,-41130990.0,-11.78,-18115745.0,-5.19,-23015245.0,-6.59,29844167.0,8.54,11286823.0,3.23,002311
2023-04-03,17.62,0.74,-2437708.0,-5.15,1779485.0,3.76,-4217193.0,-8.9,-4960732.0,-10.47,7398441.0,15.62,300673
2023-04-03,8.06,-0.25,-10998906.0,-3.21,-13452147.0,-3.93,2453241.0,0.72,4851855.0,1.42,6147052.0,1.8,600737
2023-04-03,5.64,-1.74,-1500893.0,-2.09,1115239.0,1.55,-2616132.0,-3.64,878719.0,1.22,622175.0,0.87,600191
2023-04-03,9.77,2.3,1510171.0,3.06,976188.0,1.98,533983.0,1.08,-105281.0,-0.21,-1404890.0,-2.85,001313
2023-04-03,11.94,0.84,43227.0,0.07,0.0,0.0,43227.0,0.07,-73082.0,-0.12,29855.0,0.05,002661
2023-04-03,5.8,3.02,16211864.0,7.36,8407029.0,3.82,7804835.0,3.54,-25479040.0,-11.57,9267175.0,4.21,002548
2023-04-03,18.02,-2.33,-4755589.0,-4.1,873217.0,0.75,-5628806.0,-4.85,-16077023.0,-13.85,20832613.0,17.95,300138
2023-04-03,13.89,4.99,169631131.0,10.66,51336171.0,3.23,118294960.0,7.43,-42052768.0,-2.64,-127578368.0,-8.01,000876
2023-04-03,3.4,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,-817946.0,-44.04,-143265.0,-7.71,839371
2023-04-03,6.07,4.48,8948966.0,6.81,5721718.0,4.35,3227248.0,2.45,1640126.0,1.25,-10589092.0,-8.05,002481
2023-04-03,16.63,0.6,-1241918.0,-6.62,-751028.0,-4.0,-490890.0,-2.62,-720946.0,-3.84,1962865.0,10.46,603182
2023-04-03,6.66,-0.89,-2743771.0,-7.53,0.0,0.0,-2743771.0,-7.53,1659386.0,4.56,1084385.0,2.98,002696
2023-04-03,23.95,1.01,1146202.0,1.43,177662.0,0.22,968540.0,1.21,-3019700.0,-3.77,1873500.0,2.34,002891
2023-04-03,6.61,1.23,-37837.0,-0.08,-973717.0,-1.98,935880.0,1.9,-446968.0,-0.91,484806.0,0.99,603336
2023-04-03,8.52,0.47,-2421977.0,-2.6,7010781.0,7.52,-9432758.0,-10.12,2330971.0,2.5,91007.0,0.1,000930
2023-04-03,12.17,2.01,5211258.0,4.79,2708794.0,2.49,2502464.0,2.3,-3804729.0,-3.5,-1406529.0,-1.29,603609
2023-04-03,16.21,0.37,-13290104.0,-16.87,-3397773.0,-4.31,-9892331.0,-12.55,4997508.0,6.34,8292596.0,10.52,603668
2023-04-03,11.86,-2.15,-12294029.0,-18.58,-3918807.0,-5.92,-8375222.0,-12.66,4088100.0,6.18,8205929.0,12.4,002852
2023-04-03,9.34,1.19,-32097362.0,-9.89,-11002455.0,-3.39,-21094907.0,-6.5,-1552098.0,-0.48,33649462.0,10.36,000911
2023-04-03,7.8,0.13,-3245577.0,-8.5,-275693.0,-0.72,-2969884.0,-7.78,-1299348.0,-3.4,4544924.0,11.9,000019
2023-04-03,17.75,-0.39,-6827434.0,-11.66,-7977794.0,-13.62,1150360.0,1.96,2797680.0,4.78,4029754.0,6.88,300268
2023-04-03,43.05,-0.12,-13528441.0,-4.51,-17417285.0,-5.81,3888844.0,1.3,13275555.0,4.43,252886.0,0.08,300999
2023-04-03,7.89,1.02,12519784.0,3.21,-1522208.0,-0.39,14041992.0,3.6,-20599808.0,-5.28,8080025.0,2.07,002385
2023-04-03,17.88,0.28,-3727496.0,-4.72,-1424978.0,-1.8,-2302518.0,-2.92,-1182883.0,-1.5,4910380.0,6.22,001338
