总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
22817197000.0,22817197000.0,钢铁行业,20001229,600399,抚顺特钢,1972100000.0,1972100000.0
6233154407.62,6233154407.62,钢铁行业,20010820,600569,安阳钢铁,2872421386.0,2872421386.0
13679620365.84,13679620365.84,钢铁行业,19961225,600782,新钢股份,3188722696.0,3188722696.0
9040492259.52,3557382867.52,钢铁行业,20201204,601686,友发集团,1430457636.0,562877036.0
3595282600.0,1014520390.0,钢铁行业,20200805,605158,华达新材,511420000.0,144313000.0
4399564299.7,4399564299.7,钢铁行业,19961128,000655,金岭矿业,595340230.0,595340230.0
30306748583.36,21392668583.36,钢铁行业,20010426,600295,鄂尔多斯,1999125896.0,1411125896.0
6859476227.7,6858565675.2,钢铁行业,19970508,000717,中南股份,2423843190.0,2423521440.0
14537321695.21,13660174359.21,钢铁行业,20070228,601005,重庆钢铁,8918602267.0,8380475067.0
10522440472.32,10522440472.32,钢铁行业,20001220,600307,酒钢宏兴,6263357424.0,6263357424.0
13104745353.26,12116440253.26,钢铁行业,20030930,600507,方大特钢,2331805223.0,2155950223.0
4901280711.04,4901280711.04,钢铁行业,20161219,603878,武进不锈,400758848.0,400758848.0
90848776734.0,90848776734.0,钢铁行业,19970326,000708,中信特钢,5047154263.0,5047154263.0
14770446252.539999,14677554552.539999,钢铁行业,20141209,601969,海南矿业,2034496729.0,2021701729.0
12208849665.240002,12208849665.240002,钢铁行业,20070126,002110,三钢闽光,2451576238.0,2451576238.0
15224319817.6,14860493055.74,钢铁行业,20091211,002318,久立特材,977170720.0,953818553.0
37859306094.520004,31334843888.88,钢铁行业,19990803,000932,华菱钢铁,6908632499.0,5718037206.0
24395605777.12,24391560925.92,钢铁行业,19970416,000709,河钢股份,10337121092.0,10335407172.0
3454000000.0,915310000.0,钢铁行业,20200901,300881,盛德鑫泰,100000000.0,26500000.0
17426295668.28,17426295668.28,钢铁行业,19980311,600126,杭钢股份,3377189083.0,3377189083.0
3497998694.4,3488647968.96,钢铁行业,20100706,002443,金洲管道,520535520.0,519144043.0
43442361905.1,43376628176.1,钢铁行业,19961115,000629,钒钛股份,8602447902.0,8589431322.0
